state,unemployment,year,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
CT,9.292,1976,3117000,273.2,3.1,14.4,122.9,132.8,4731.4,1383.9,2785.8,561.8
CT,7,1977,3108000,282.3,4.2,16.8,129.5,131.8,4559.8,1346,2620.7,593.2
CT,5.233,1978,3099000,315,4.2,17.2,154.8,138.8,4614.5,1362,2597.6,654.9
CT,5.142,1979,3115000,414.2,4.2,24.1,193.3,192.6,5365.4,1548.3,3113.9,703.2
CT,5.8,1980,3095224,412.5,4.7,21.6,218,168.1,5469.2,1700.6,3089.6,678.9
CT,6.175,1981,3132000,448.1,5.4,21.9,246.1,174.6,5389.2,1691.9,3094.7,602.6
CT,6.842,1982,3153000,399.5,5.2,21.9,208.5,163.9,5028,1410.8,3065,552.2
CT,6.017,1983,3138000,375,4.1,20,200.6,150.3,4602.8,1274.3,2849.6,478.9
CT,4.667,1984,3154000,393.8,3.9,24.1,190.5,175.4,4235,1128.9,2683.3,422.8
CT,4.733,1985,3174000,402,3.8,24,190,184.1,4302.8,1135.5,2726,441.3
CT,3.85,1986,3189000,425.8,4.6,23.8,192.2,205.1,4403,1197.6,2758.3,447.1
CT,3.367,1987,3211000,419,4.9,24.9,178.1,211.1,4576.7,1218.3,2829.4,529
CT,2.942,1988,3241000,455.4,5.4,26.2,187.6,236.2,4642.2,1218,2810.2,614
CT,3.75,1989,3239000,511.8,5.9,27.5,214.8,263.6,4758.2,1236,2824.4,697.8
CT,5.125,1990,3287116,553.7,5.1,27.9,234.8,286,4833,1227.7,2874.4,730.9
CT,6.542,1991,3291000,539.7,5.7,29.2,224.4,280.5,4824.4,1191.1,2837.6,795.7
CT,7.542,1992,3281000,495.3,5.1,26.9,210.9,252.5,4557.6,1108.6,2726.7,722.3
CT,6.633,1993,3277000,456.2,6.3,24.4,196.7,228.7,4194.2,978.1,2620.6,595.5
CT,5.6,1994,3275000,455.5,6.6,24.6,187.8,236.5,4092.5,889.8,2586.9,615.8
CT,5.475,1995,3275000,405.9,4.6,23.7,163.2,214.4,4097.3,888.4,2668.7,540.2
CT,5.492,1996,3274000,412,4.8,23.1,169.6,214.6,3815.6,842.2,2484.1,489.4
CT,5,1997,3270000,390.9,3.8,22.6,152.9,211.6,3593.4,738.3,2410.4,444.7
CT,3.442,1998,3274000,366.3,4.1,22.2,133.8,206.2,3420.2,665.9,2366.3,388.1
CT,2.867,1999,3282031,345.6,3.3,19.9,123.5,198.9,3043.7,588,2111.5,344.2
